Janosch;Janosch erzählt Grimm's Märchen;M;U
Janssen, Thorben;Hibernate Tipps;S;R
Karg, Markus;Die Ärzte - Ein überdimensionales Meerschwein frisst die Erde auf;S;R
Karwin, Bill;SQL Antipatterns;S;R
Kaut, Lizzy;Motör Eder und sein True Muckl;R;R;
Kerr, Judith;Als Hitler das rosa Kaninchen stahl;R;U
Keulemans, Maarten;Exit Mundi - Die besten Weltuntergänge;R;R
Kim, Gene & Behr, Kevin & Spafford, George;The Phoenix Project - A Novel About IT, DevOps and Helping Your Business Win;R;R
King, Stephen & Straub, Peter;Das schwarze Hause;R;R
King, Stephen & Straub, Peter;Der Talisman;R;R
King, Stephen;Amok;R;U
King, Stephen;Brennen muss Salem;R;R
King, Stephen;Das Spiel;R;R
King, Stephen;Der Dunkle Turm 1 - Schwarz;R;R
King, Stephen;Der Dunkle Turm 2 - Drei;R;R
King, Stephen;Der Dunkle Turm 3 - tot.;R;R
King, Stephen;Der Dunkle Turm 4 - Glas;R;R
King, Stephen;Der Dunkle Turm 5 - Wolfsmond;R;R
King, Stephen;Der Dunkle Turm 6 - Susannah;R;R
King, Stephen;Der Dunkle Turm 7 - Der Turm;R;R
King, Stephen;Die Augen des Drachen;R;R
King, Stephen;Dolores;R;R
King, Stephen;Es;R;R
King, Stephen;Feuerkind;R;R
King, Stephen;Friedhof der Kuscheltiere;R;R
King, Stephen;Frühling, Sommer Herbst und Tod;R;R
King, Stephen;Menschenjagd;R;R
King, Stephen;Nachtschicht;R;R
King, Stephen;Qual;R;R
King, Stephen;Sara;R;R
King, Stephen;Shining;R;R
King, Stephen;Stark - The Dark Half;R;R
King, Stephen;The Girl Who Loved Tom Gordon;R;R
King, Stephen;The Stand - Das letzte Gefecht, Band 1;R;R
King, Stephen;The Stand - Das letzte Gefecht, Band 2;R;R
King, Stephen;Todesmarsch;R;R
King, Stephen;Wahn;R;R
King, Stephen;Wind;R;R
King,Stephen;The Green Mile 1 - Der Tod der jungen Mädchen,R;R
King,Stephen;The Green Mile 2 - Die Maus im Todesblock,R;R
King,Stephen;The Green Mile 3 - Coffey's Hände,R;R
King,Stephen;The Green Mile 4 - Der qualvolle Tod,R;R
King,Stephen;The Green Mile 5 - Reise in die Nacht,R;R
King,Stephen;The Green Mile 6 - Coffey's Vermächtnis,R;R
Kling, Marc-Uwe;Die Känguru-Trilogie;R;R
Kling, Marc-Uwe;Qualityland 2.0;R;R
Kling, Marc-Uwe;Qualityland;R;R
Lemmy & Garza, Janiss;White Line Fever;S;R
Levitin, Anany & Levitin, Maria;Algorithmic Puzzles;S;U
Lindsay, Jeff;Darkly Dreaming Dexter;R;R
Lindsay, Jeff;Dearly Devoted Dexter;R;R
Long, Josh & Bastani, Kenny;Cloud Native Java;S;U
Lunde,Maja;Die Geschichte der Bienen;R;R
Löffler, Rainer;Blutsommer;R;R
Martin, George R.R.;A Song Of Ice And Fire 1 - A Game Of Thrones;R;R
Martin, George R.R.;A Song Of Ice And Fire 2 - A Clash Of Kings;R;R
Martin, George R.R.;A Song Of Ice And Fire 3 - A Storm Of Swords;R;R
Martin, George R.R.;A Song Of Ice And Fire 4 - A Feast For Crows;R;R
Martin, George R.R.;A Song Of Ice And Fire 5 - A Dance With Dragons;R;R
